Parameter,Example,Description,Type,Min,Max,Default
Delay_Period_Log_Normal_Sigma,[link](../json/campaign-delayedintervention_Delay_Period_Log_Normal_Sigma.json),"The standard deviation of the natural log of the delay period, in days, when **Delay_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282E+38
Delay_Period_Max,[link](../json/campaign-delayedintervention_Delay_Period_Max.json),"The maximum delay period, in days, when **Delay_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",float,0,3.40282E+38,-1
Delay_Period_Mean_1,[link](../json/campaign-delayedintervention_Delay_Period_Mean_1.json),"The mean of the first exponential distribution, in days, when **Delay_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Delay_Period_Mean_2,[link](../json/campaign-delayedintervention_Delay_Period_Mean_2.json),"The mean of the second exponential distribution, in days, when **Delay_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Delay_Period_Min,[link](../json/campaign-delayedintervention_Delay_Period_Min.json),"The minimum delay period, in days, when **Delay_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",float,0,3.40282E+38,-1
Delay_Period_Peak_2_Value,[link](../json/campaign-delayedintervention_Delay_Period_Peak_2_Value.json),The delay period value to assign to the remaining interventions when **Delay_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,float,0,3.40282E+38,-1
Delay_Period_Poisson_Mean,[link](../json/campaign-delayedintervention_Delay_Period_Poisson_Mean.json),The mean of the delay period when **Delay_Period_Distribution** is set to POISSON_DISTRIBUTION.,float,0,3.40282E+38,-1
Delay_Period_Proportion_0,[link](../json/campaign-delayedintervention_Delay_Period_Proportion_0.json),The proportion of interventions to assign a value of zero delay when **Delay_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,float,0,1,-1
Delay_Period_Proportion_1,[link](../json/campaign-delayedintervention_Delay_Period_Proportion_1.json),The proportion of interventions in the first exponential distribution when **Delay_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,float,0,1,-1
Disqualifying_Properties,[link](../json/campaign-delayedintervention_Disqualifying_Properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See  parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",array of strings,NA,NA,[]
Dont_Allow_Duplicates,[link](../json/campaign-delayedintervention_Dont_Allow_Duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",boolean,0,1,0
Intervention_Name,[link](../json/campaign-delayedintervention_Intervention_Name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,string,NA,NA,DelayedIntervention
New_Property_Value,[link](../json/campaign-delayedintervention_New_Property_Value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See  parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",string,NA,NA,NA
