Parameter,Example,Description,Type,Min,Max,Default
Duration_Before_Leaving_Log_Normal_Sigma,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Log_Normal_Sigma.json),"The standard deviation of the natural log of the duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282E+38
Duration_Before_Leaving_Max,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Max.json),"The maximum duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to UNIFORM_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_Before_Leaving_Mean_1,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Mean_1.json),"The mean of the first exponential distribution, in days, when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Duration_Before_Leaving_Mean_2,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Mean_2.json),"The mean of the second exponential distribution, in days, when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Duration_Before_Leaving_Min,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Min.json),"The minimum duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to UNIFORM_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_Before_Leaving_Peak_2_Value,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Peak_2_Value.json),"The duration before leaving the node to assign to the remaining families, in days, when **Duration_Before_Leaving_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_Before_Leaving_Poisson_Mean,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Poisson_Mean.json),"The mean of the duration before leaving the node, in days, when **Duration_Before_Leaving** is set to POISSON_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_Before_Leaving_Proportion_0,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Proportion_0.json),The proportion of families to assign a value of zero days before leaving the node when **Duration_Before_Leaving_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,float,0,1,-1
Duration_Before_Leaving_Proportion_1,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Proportion_1.json),The proportion of familes in the first exponential distribution when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,float,0,1,-1
Intervention_Name,[link](../json/campaign-migratefamily_Intervention_Name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,string,NA,NA,NA
Is_Moving,[link](../json/campaign-migratefamily_Is_Moving.json),Set to true (1) to indicate the individual is permanently moving to a new home node for intervention-based migration.,boolean,0,1,0
New_Property_Value,[link](../json/campaign-migratefamily_New_Property_Value.json),"An optional **NodeProperty** key:value pair that will be assigned when the intervention is distributed. See  parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",string,NA,NA,NA
NodeID_To_Migrate_To,[link](../json/campaign-migratefamily_NodeID_To_Migrate_To.json),The destination node ID for intervention-based migration.,integer,0,4294970000.0,0
