Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
6881,95,38.4713,M,1,0,N/A,STIPostImmigrating,0,88,2264,0,1,MARITAL,NORMAL,141,1,1
6882,268,59.3829,M,2,1,local,STIPreEmigrating,0,57,2287,0,1,MARITAL,MIGRATING,316,2,2
6882,443,14.274,F,2,1,local,STIPreEmigrating,0,248,129,0,1,MARITAL,MIGRATING,351,2,2
6882,316,61.828,F,2,1,local,STIPreEmigrating,0,57,2287,0,1,MARITAL,MIGRATING,268,0,2
6882,351,18.5973,M,2,1,local,STIPreEmigrating,0,248,129,0,1,MARITAL,MIGRATING,443,2,0
6882,321,48.6509,F,1,2,local,STIPreEmigrating,0,197,619,0,1,MARITAL,MIGRATING,301,1,1
6882,301,47.8968,M,1,2,local,STIPreEmigrating,0,197,619,0,1,MARITAL,MIGRATING,321,1,0
6882,301,47.8968,M,2,0,N/A,STIPostImmigrating,0,197,619,0,1,MARITAL,MIGRATING,321,2,0
6882,321,48.6509,F,2,0,N/A,STIPostImmigrating,0,197,619,0,1,MARITAL,NORMAL,301,2,2
6882,351,18.5973,M,1,0,N/A,STIPostImmigrating,0,248,129,0,1,MARITAL,MIGRATING,443,1,0
6882,316,61.828,F,1,0,N/A,STIPostImmigrating,0,57,2287,0,1,MARITAL,MIGRATING,268,0,1
6882,443,14.274,F,1,0,N/A,STIPostImmigrating,0,248,129,0,1,MARITAL,NORMAL,351,1,1
6882,268,59.3829,M,1,0,N/A,STIPostImmigrating,0,57,2287,0,1,MARITAL,NORMAL,316,1,1
6883,223,24.2215,M,2,1,local,STIPreEmigrating,0,191,659,0,1,MARITAL,MIGRATING,294,2,2
6883,294,20.6045,F,2,1,local,STIPreEmigrating,0,191,659,0,1,MARITAL,MIGRATING,223,0,2
6883,156,20.2233,F,1,2,local,STIPreEmigrating,0,251,89,0,1,MARITAL,MIGRATING,125,1,1
6883,200,63.3086,M,1,2,local,STIPreEmigrating,0,185,766,0,1,MARITAL,MIGRATING,81,1,1
6883,125,21.4388,M,1,2,local,STIPreEmigrating,0,251,89,0,1,MARITAL,MIGRATING,156,1,0
6883,81,59.2461,F,1,2,local,STIPreEmigrating,0,185,766,0,1,MARITAL,MIGRATING,200,0,1
6883,81,59.2461,F,2,0,N/A,STIPostImmigrating,0,185,766,0,1,MARITAL,MIGRATING,200,0,2
6883,125,21.4388,M,2,0,N/A,STIPostImmigrating,0,251,89,0,1,MARITAL,MIGRATING,156,2,0
6883,200,63.3086,M,2,0,N/A,STIPostImmigrating,0,185,766,0,1,MARITAL,NORMAL,81,2,2
6883,156,20.2233,F,2,0,N/A,STIPostImmigrating,0,251,89,0,1,MARITAL,NORMAL,125,2,2
6883,294,20.6045,F,1,0,N/A,STIPostImmigrating,0,191,659,0,1,MARITAL,MIGRATING,223,0,1
6883,223,24.2215,M,1,0,N/A,STIPostImmigrating,0,191,659,0,1,MARITAL,NORMAL,294,1,1
6884,34,24.2078,F,2,1,local,STIPreEmigrating,0,162,1021,0,1,MARITAL,MIGRATING,337,2,2
6884,337,25.6116,M,2,1,local,STIPreEmigrating,0,162,1021,0,1,MARITAL,MIGRATING,34,2,0
6884,27,20.2596,F,1,2,local,STIPreEmigrating,0,202,521,0,1,MARITAL,MIGRATING,197,1,1
6884,197,22.8601,M,1,2,local,STIPreEmigrating,0,202,521,0,1,MARITAL,MIGRATING,27,1,0
6884,195,49.9749,F,1,2,local,STIPreEmigrating,0,237,213,0,1,MARITAL,MIGRATING,265,1,1
6884,265,46.2023,M,1,2,local,STIPreEmigrating,0,237,213,0,1,MARITAL,MIGRATING,195,1,0
6884,265,46.2023,M,2,0,N/A,STIPostImmigrating,0,237,213,0,1,MARITAL,MIGRATING,195,2,0
6884,195,49.9749,F,2,0,N/A,STIPostImmigrating,0,237,213,0,1,MARITAL,NORMAL,265,2,2
6884,197,22.8601,M,2,0,N/A,STIPostImmigrating,0,202,521,0,1,MARITAL,MIGRATING,27,2,0
6884,27,20.2596,F,2,0,N/A,STIPostImmigrating,0,202,521,0,1,MARITAL,NORMAL,197,2,2
6884,337,25.6116,M,1,0,N/A,STIPostImmigrating,0,162,1021,0,1,MARITAL,MIGRATING,34,1,0
6884,34,24.2078,F,1,0,N/A,STIPostImmigrating,0,162,1021,0,1,MARITAL,NORMAL,337,1,1
6885,259,32.4247,F,2,1,local,STIPreEmigrating,0,94,2141,0,1,MARITAL,MIGRATING,142,2,2
6885,142,39.4525,M,2,1,local,STIPreEmigrating,0,94,2141,0,1,MARITAL,MIGRATING,259,2,0
6885,296,25.7284,M,1,2,local,STIPreEmigrating,0,173,868,0,1,MARITAL,MIGRATING,187,1,1
6885,276,25.8214,F,1,2,local,STIPreEmigrating,0,146,1229,0,1,MARITAL,MIGRATING,343,1,1
6885,343,28.3633,M,1,2,local,STIPreEmigrating,0,146,1229,0,1,MARITAL,MIGRATING,276,1,0
6885,152,49.3531,F,1,2,local,STIPreEmigrating,0,126,1585,0,1,MARITAL,MIGRATING,103,1,1
6885,103,61.2212,M,1,2,local,STIPreEmigrating,0,126,1585,0,1,MARITAL,MIGRATING,152,1,0
6885,187,23.393,F,1,2,local,STIPreEmigrating,0,173,868,0,1,MARITAL,MIGRATING,296,0,1
6885,187,23.393,F,2,0,N/A,STIPostImmigrating,0,173,868,0,1,MARITAL,MIGRATING,296,0,2
6885,103,61.2212,M,2,0,N/A,STIPostImmigrating,0,126,1585,0,1,MARITAL,MIGRATING,152,2,0
6885,152,49.3531,F,2,0,N/A,STIPostImmigrating,0,126,1585,0,1,MARITAL,NORMAL,103,2,2
6885,343,28.3633,M,2,0,N/A,STIPostImmigrating,0,146,1229,0,1,MARITAL,MIGRATING,276,2,0
6885,276,25.8214,F,2,0,N/A,STIPostImmigrating,0,146,1229,0,1,MARITAL,NORMAL,343,2,2
6885,296,25.7284,M,2,0,N/A,STIPostImmigrating,0,173,868,0,1,MARITAL,NORMAL,187,2,2
6885,142,39.4525,M,1,0,N/A,STIPostImmigrating,0,94,2141,0,1,MARITAL,MIGRATING,259,1,0
