Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
90190,13545,23678.6,2,1,1,2279,0,0,41.5557,1,0,0,1,0,17,1,0,0,0,0,2253,0,1,44.3516,1,0,0,1,0,17,1,0,0,0,0
90191,13545,17403.8,2,1,1,2831,0,0,44.0769,1,0,0,1,0,14,1,0,0,0,0,7898,0,1,47.5964,2,0,0,2,0,61,1,7,0,0,0
90192,13545,16427.2,2,1,1,2917,0,0,42.388,1,0,0,1,0,8,1,0,0,0,0,5724,0,1,44.6035,1,0,0,1,0,53,1,7,0,0,0
90193,13545,27384,2,1,1,3059,0,0,50.4722,1,0,0,1,0,16,1,0,0,0,0,2516,0,1,48.8401,1,0,0,1,0,19,1,0,0,0,0
90194,13545,23039.3,2,1,1,4733,0,0,40.3667,2,1,0,1,0,27,1,1,0,0,0,5902,0,1,47.0168,1,0,0,1,0,15,1,0,0,0,0
90195,13545,21919.2,2,1,1,7158,0,0,38.9293,1,0,0,1,0,9,1,0,0,0,0,11418,0,1,29.6301,1,0,0,1,0,12,1,0,0,0,0
90196,13545,21495.4,2,1,1,753,0,0,40.9924,1,0,0,1,0,13,1,0,0,0,0,4322,0,1,41.8863,1,0,0,1,0,13,1,0,0,0,0
90197,13545,32280.5,2,1,1,3700,0,0,40.0791,3,0,2,1,0,20,1,2,0,0,0,1926,0,1,38.8538,3,2,0,1,0,27,1,1,0,0,0
90198,13545,18055.6,2,1,1,12150,0,0,27.6932,8,4,3,1,0,45,6,7,0,0,0,10633,0,1,31.7589,1,0,0,1,0,13,1,0,0,0,0
90199,13552,14100.6,0,1,1,13320,0,0,24.8548,2,1,1,0,0,8,1,2,0,0,0,16084,0,1,18.6411,3,2,1,0,0,11,2,3,0,0,0
