Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
6652,69,33.4485,M,1,0,N/A,STIPostImmigrating,0,173,7,0,1,INFORMAL,PAUSED,85,1,0
6654,55,42.5852,M,2,4,local,STIPreEmigrating,0,168,4,0,1,INFORMAL,PAUSED,23,2,0
6654,55,42.5852,M,4,0,N/A,STIPostImmigrating,0,168,4,0,1,INFORMAL,PAUSED,23,4,0
6656,65,21.6557,M,4,3,local,STIPreEmigrating,0,165,17,0,1,INFORMAL,PAUSED,13,4,0
6656,65,21.6557,M,3,0,N/A,STIPostImmigrating,0,165,17,0,1,INFORMAL,PAUSED,13,3,0
6657,7,26.1798,M,4,2,local,STIPreEmigrating,0,167,29,0,1,INFORMAL,PAUSED,77,4,0
6657,7,26.1798,M,2,0,N/A,STIPostImmigrating,0,167,29,0,1,INFORMAL,PAUSED,77,2,0
6659,75,16.8027,F,2,4,local,STIPreEmigrating,0,170,22,0,1,INFORMAL,PAUSED,73,0,2
6659,75,16.8027,F,4,0,N/A,STIPostImmigrating,0,170,22,0,1,INFORMAL,NORMAL,73,4,4
6662,59,37.1477,M,2,4,local,STIPreEmigrating,0,156,78,0,1,INFORMAL,PAUSED,60,2,2
6662,59,37.1477,M,4,0,N/A,STIPostImmigrating,0,156,78,0,1,INFORMAL,PAUSED,60,4,2
6663,19,18.9796,M,2,1,local,STIPreEmigrating,0,172,9,0,1,INFORMAL,PAUSED,72,2,0
6663,19,18.9796,M,1,0,N/A,STIPostImmigrating,0,172,9,0,1,INFORMAL,NORMAL,72,1,1
6664,32,31.1835,F,2,3,local,STIPreEmigrating,0,174,15,0,0,INFORMAL,PAUSED,41,0,2
6664,32,31.1835,F,3,0,N/A,STIPostImmigrating,0,174,15,0,1,INFORMAL,PAUSED,41,0,3
6665,70,17.5096,F,3,1,local,STIPreEmigrating,0,175,14,0,0,INFORMAL,PAUSED,76,0,3
6665,70,17.5096,F,1,0,N/A,STIPostImmigrating,0,175,14,0,1,INFORMAL,PAUSED,76,0,1
