Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
594,3,34.0486,M,1,2,local,STIPreEmigrating,0,93,39,0,0,MARITAL,PAUSED,26,1,0
594,306,18.3938,F,1,2,local,STIPreEmigrating,0,103,16,0,1,INFORMAL,PAUSED,309,0,1
594,177,38.5343,F,1,4,local,STIPreEmigrating,0,32,46,0,1,MARITAL,PAUSED,281,0,1
594,177,38.5343,F,4,0,N/A,STIPostImmigrating,0,32,46,0,1,MARITAL,NORMAL,281,4,4
594,306,18.3938,F,2,0,N/A,STIPostImmigrating,0,103,16,0,0,INFORMAL,NORMAL,309,2,2
594,3,34.0486,M,2,0,N/A,STIPostImmigrating,0,93,39,0,1,MARITAL,NORMAL,26,2,2
594,173,65.8784,F,4,0,N/A,STIPostImmigrating,0,59,32,0,1,MARITAL,PAUSED,66,0,4
594,68,41.5232,M,3,0,N/A,STIPostImmigrating,0,48,29,0,1,MARITAL,PAUSED,60,3,0
594,8,51.801,M,3,0,N/A,STIPostImmigrating,0,76,31,0,1,MARITAL,NORMAL,121,3,3
594,37,35.5539,M,1,0,N/A,STIPostImmigrating,0,107,5,0,1,TRANSITORY,PAUSED,151,1,4
596,248,18.4143,F,3,2,local,STIPreEmigrating,0,87,27,0,1,TRANSITORY,PAUSED,24,0,3
596,137,72.7589,F,2,4,local,STIPreEmigrating,0,99,29,0,1,MARITAL,PAUSED,310,0,2
596,256,19.6165,M,2,3,local,STIPreEmigrating,0,73,40,0,1,INFORMAL,PAUSED,221,2,2
596,206,39.3061,M,1,3,local,STIPreEmigrating,0,46,49,0,1,MARITAL,PAUSED,142,1,1
596,206,39.3061,M,3,0,N/A,STIPostImmigrating,0,46,49,0,1,MARITAL,PAUSED,142,3,1
596,256,19.6165,M,3,0,N/A,STIPostImmigrating,0,73,40,0,1,INFORMAL,PAUSED,221,3,2
596,137,72.7589,F,4,0,N/A,STIPostImmigrating,0,99,29,0,1,MARITAL,PAUSED,310,0,4
596,248,18.4143,F,2,0,N/A,STIPostImmigrating,0,87,27,0,0,TRANSITORY,NORMAL,24,2,2
597,47,23.446,F,4,2,local,STIPreEmigrating,0,34,19,0,1,INFORMAL,PAUSED,312,0,4
597,202,37.1491,M,1,3,local,STIPreEmigrating,0,14,117,0,1,TRANSITORY,PAUSED,118,1,0
597,202,37.1491,M,3,0,N/A,STIPostImmigrating,0,14,117,0,1,TRANSITORY,NORMAL,118,3,3
597,47,23.446,F,2,0,N/A,STIPostImmigrating,0,34,19,0,1,INFORMAL,PAUSED,312,0,2
598,292,31.5803,F,1,3,local,STIPreEmigrating,0,52,81,0,1,INFORMAL,PAUSED,96,0,1
598,292,31.5803,F,3,0,N/A,STIPostImmigrating,0,52,81,0,1,INFORMAL,PAUSED,96,0,3
599,117,25.0349,F,2,4,local,STIPreEmigrating,0,31,43,0,1,INFORMAL,PAUSED,13,2,2
599,117,25.0349,F,4,0,N/A,STIPostImmigrating,0,31,43,0,1,INFORMAL,PAUSED,13,2,4
600,155,29.2941,F,4,2,local,STIPreEmigrating,0,51,90,0,1,INFORMAL,PAUSED,255,0,4
600,292,31.5803,F,3,1,local,STIPreEmigrating,0,52,81,0,1,INFORMAL,PAUSED,96,0,3
600,78,55.8973,M,1,4,local,STIPreEmigrating,0,39,44,0,1,MARITAL,PAUSED,146,1,0
600,78,55.8973,M,4,0,N/A,STIPostImmigrating,0,39,44,0,1,MARITAL,NORMAL,146,4,4
