Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
2821,112,34.199,F,1,0,N/A,STIPostImmigrating,0,3,928,0,1,MARITAL,MIGRATING,6,0,1
2821,6,32.7854,M,1,0,N/A,STIPostImmigrating,0,3,928,0,1,MARITAL,NORMAL,112,1,1
2821,98,21.6874,F,1,0,N/A,STIPostImmigrating,0,103,549,0,1,MARITAL,MIGRATING,224,0,1
2821,224,20.9941,M,1,0,N/A,STIPostImmigrating,0,103,549,0,1,MARITAL,NORMAL,98,1,1
2821,112,34.199,F,2,1,local,STIPreEmigrating,0,3,928,0,1,MARITAL,MIGRATING,6,2,2
2821,6,32.7854,M,2,1,local,STIPreEmigrating,0,3,928,0,1,MARITAL,MIGRATING,112,2,0
2821,98,21.6874,F,2,1,local,STIPreEmigrating,0,103,549,0,1,MARITAL,MIGRATING,224,2,2
2821,224,20.9941,M,2,1,local,STIPreEmigrating,0,103,549,0,1,MARITAL,MIGRATING,98,2,0
2822,271,67.4053,M,1,2,local,STIPreEmigrating,0,88,636,0,1,MARITAL,MIGRATING,257,1,1
2822,257,55.2277,F,1,2,local,STIPreEmigrating,0,88,636,0,1,MARITAL,MIGRATING,271,0,1
2822,271,67.4053,M,2,0,N/A,STIPostImmigrating,0,88,636,0,1,MARITAL,MIGRATING,257,2,0
2822,257,55.2277,F,2,0,N/A,STIPostImmigrating,0,88,636,0,1,MARITAL,NORMAL,271,2,2
2824,221,16.8308,F,1,0,N/A,STIPostImmigrating,0,129,118,0,1,MARITAL,MIGRATING,340,0,1
2824,87,24.0651,F,1,0,N/A,STIPostImmigrating,0,54,830,0,1,MARITAL,MIGRATING,5,0,1
2824,5,32.6466,M,1,0,N/A,STIPostImmigrating,0,54,830,0,1,MARITAL,NORMAL,87,1,1
2824,340,23.7199,M,1,0,N/A,STIPostImmigrating,0,129,118,0,1,MARITAL,NORMAL,221,1,1
2824,221,16.8308,F,2,1,local,STIPreEmigrating,0,129,118,0,1,MARITAL,MIGRATING,340,2,2
2824,87,24.0651,F,2,1,local,STIPreEmigrating,0,54,830,0,1,MARITAL,MIGRATING,5,2,2
2824,5,32.6466,M,2,1,local,STIPreEmigrating,0,54,830,0,1,MARITAL,MIGRATING,87,2,0
2824,340,23.7199,M,2,1,local,STIPreEmigrating,0,129,118,0,1,MARITAL,MIGRATING,221,2,0
2825,211,19.3039,M,1,0,N/A,STIPostImmigrating,0,102,257,0,1,MARITAL,MIGRATING,243,1,0
2825,243,20.114,F,1,0,N/A,STIPostImmigrating,0,102,257,0,1,MARITAL,NORMAL,211,1,1
2825,211,19.3039,M,2,1,local,STIPreEmigrating,0,102,257,0,1,MARITAL,MIGRATING,243,2,2
2825,243,20.114,F,2,1,local,STIPreEmigrating,0,102,257,0,1,MARITAL,MIGRATING,211,0,2
2827,136,22.969,M,1,0,N/A,STIPostImmigrating,0,101,573,0,1,MARITAL,MIGRATING,138,1,0
